Gene,Inheritance,Molecular_disease_mechanism,Protein_functional_class
ABCA1,AR,AR,Transporter
ABCG5,AR,AR,Transporter
ABCG8,AR,AR,Transporter
ACAD8,AR,AR,Oxidoreductase
ACAD8,AR,AR,Transferase
ACADM,AR,AR,Oxidoreductase
ACADM,AR,AR,Transferase
ACADS,AR,AR,Oxidoreductase
ACADS,AR,AR,Transferase
ACADSB,AR,AR,Oxidoreductase
ACADSB,AR,AR,Transferase
ACADVL,AR,AR,Oxidoreductase
ACADVL,AR,AR,Transferase
ACAT1,AR,AR,Transferase
ACE,AR,AR,Hydrolase
ACE,AR,AR,Protease
ACP5,AR,AR,Hydrolase
ACP5,AR,AR,Phosphatase
ACVRL1,AD,HI,Kinase
ACVRL1,AD,HI,Receptor
ACVRL1,AD,HI,Transferase
ACY1,AR,AR,Hydrolase
ADAM22,AR,AR,Hydrolase
ADAM22,AR,AR,Protease
ADAMTS13,AR,AR,Enzyme Modulator
ADAMTS13,AR,AR,Extracellular Matrix Protein
ADAMTS13,AR,AR,Hydrolase
ADAMTS13,AR,AR,Protease
ADSL,AR,AR,Lyase
AGA,AR,AR,Hydrolase
AGA,AR,AR,Protease
AGT,AR,AR,Enzyme Modulator
AGXT,AR,AR,Transferase
AHCY,AR,AR,Hydrolase
AICDA,AR,AR,Hydrolase
AICDA,AR,AR,Nucleic Acid Binding
AK1,AR,AR,Kinase
AK1,AR,AR,Transferase
AK2,AR,AR,Kinase
AK2,AR,AR,Transferase
AKR1C2,AR,AR,Oxidoreductase
AKR1D1,AR,AR,Oxidoreductase
AKT3,AD,GOF,Calcium-Binding Protein
AKT3,AD,GOF,Kinase
AKT3,AD,GOF,Transfer/Carrier Protein
AKT3,AD,GOF,Transferase
ALAD,AR,AR,Hydrolase
ALAD,AR,AR,Lyase
ALAD,AR,AR,Protease
ALDH1A3,AR,AR,Oxidoreductase
ALDH3A2,AR,AR,Oxidoreductase
ALDH4A1,AR,AR,Oxidoreductase
ALDH5A1,AR,AR,Oxidoreductase
ALDH7A1,AR,AR,Oxidoreductase
ALDOB,AR,AR,Lyase
AMT,AR,AR,Transferase
ANK2,AD,HI,Cytoskeletal Protein
ANK2,AD,HI,Signaling Molecule
ANTXR2,AR,AR,Receptor
AP4M1,AR,AR,Extracellular Matrix Protein
AP4M1,AR,AR,Receptor
APC,AD,HI,Signaling Molecule
APRT,AR,AR,Transferase
ARG1,AR,AR,Hydrolase
ARHGDIA,AR,AR,Enzyme Modulator
ARHGDIA,AR,AR,Signaling Molecule
ARL6,AR,AR,Cytoskeletal Protein
ARL6,AR,AR,Enzyme Modulator
ARSB,AR,AR,Calcium-Binding Protein
ARSB,AR,AR,Enzyme Modulator
ARSB,AR,AR,Hydrolase
ASL,AR,AR,Lyase
ASPA,AR,AR,Hydrolase
ASPH,AR,AR,Oxidoreductase
ASS1,AR,AR,Ligase
ATG5,AR,AR,Membrane Traffic Protein
ATIC,AR,AR,Hydrolase
ATIC,AR,AR,Transferase
ATL1,AD,DN,Enzyme Modulator
ATL3,AD,DN,Enzyme Modulator
ATM,AR,AR,Kinase
ATM,AR,AR,Nucleic Acid Binding
ATM,AR,AR,Transferase
ATP7B,AR,AR,Hydrolase
ATP7B,AR,AR,Transporter
AUH,AR,AR,Isomerase
AUH,AR,AR,Ligase
AUH,AR,AR,Lyase
AUH,AR,AR,Oxidoreductase
AUH,AR,AR,Transferase
B3GAT3,AR,AR,Transferase
B4GALT7,AR,AR,Transferase
BANF1,AR,AR,Nucleic Acid Binding
BBS9,AR,AR,Membrane Traffic Protein
BCAT2,AR,AR,Transferase
BCKDHA,AR,AR,Oxidoreductase
BCKDHB,AR,AR,Lyase
BCKDHB,AR,AR,Oxidoreductase
BCKDHB,AR,AR,Transferase
BCL10,AR,AR,Defense/Immunity protein
BCL10,AR,AR,Enzyme Modulator
BIN1,AR,AR,Cytoskeletal Protein
BLM,AR,AR,Hydrolase
BLM,AR,AR,Nucleic Acid Binding
BMP1,AR,AR,Hydrolase
BMP1,AR,AR,Protease
BMPR1A,AD,HI,Kinase
BMPR1A,AD,HI,Receptor
BMPR1A,AD,HI,Transferase
BMPR2,AD,DN,Kinase
BMPR2,AD,DN,Receptor
BMPR2,AD,DN,Transferase
BOLA3,AR,AR,Nucleic Acid Binding
BOLA3,AR,AR,Transcription Factor
BPGM,AR,AR,Hydrolase
BPGM,AR,AR,Isomerase
BRAF,AD,GOF,Kinase
BRAF,AD,GOF,Transferase
BRCA1,AR,AR,Ligase
BRCA1,AR,AR,Nucleic Acid Binding
C1QB,AR,AR,Defense/Immunity protein
