mu,s,mean,var,varsample,meansample,ig_mu,ig_lambda,pAF0,pAF1,pAF2,pAF3,pAF4,pAF5,fit_ig_mu,fit_ig_lambda
1e-09,1e-06,7.65640156340227e-06,1.6114345825719e-06,1.61773924027333e-06,7.669725e-06,7.65640156340227e-06,1.02003922039921e-09,0.98961,0.00731,0.00252,0.00039,0.00011,6e-05,9.2276970357217e-06,1.16046278244865e-09
1e-09,3e-06,1.85375353485842e-06,4.14057500559342e-08,4.12192931359714e-08,1.8514e-06,1.85375353485842e-06,1.02071278031576e-09,0.98975,0.00718,0.00245,0.00043,0.00014,5e-05,9.0604816083022e-06,1.16046278244865e-09
1e-09,1e-05,5.91257346227307e-06,6.39560307220766e-07,6.40420730756227e-07,5.913175e-06,5.91257346227307e-06,1.01965384605098e-09,0.98978,0.00732,0.00236,0.00036,1e-04,8e-05,8.52010105124162e-06,1.16046278244865e-09
1e-09,3e-05,1.13464970347779e-05,2.32934141053618e-06,2.32763858527447e-06,1.1351175e-05,1.13464970347779e-05,1.02006805298289e-09,0.9902,0.00688,0.00237,0.00036,0.00012,7e-05,7.27959391583073e-06,1.16046278244865e-09
1e-09,1e-04,6.58913412121683e-06,1.10306411691257e-06,1.10493213962977e-06,6.59215e-06,6.58913412121683e-06,1.02026144413271e-09,0.98992,0.00699,0.00248,0.00045,9e-05,7e-05,4.8220797020877e-06,1.16046278244865e-09
1e-09,3e-04,1.02943571942524e-06,1.27594222983353e-08,1.27272430521405e-08,1.0273e-06,1.02943571942524e-06,1.02059841462841e-09,0.99009,0.00688,0.0025,0.00042,8e-05,3e-05,2.4542320874532e-06,1.16046278244865e-09
1e-09,0.001,9.12719015518421e-07,1.29231712553335e-08,1.29614543075275e-08,9.17875000000001e-07,9.12719015518421e-07,1.01969028284563e-09,0.99029,0.00692,0.00235,0.00034,8e-05,2e-05,9.022254646399e-07,1.16046278244865e-09
1e-09,0.003,2.15232549177765e-07,1.56718368983372e-10,1.6409078151719e-10,2.18625e-07,2.15232549177765e-07,1.0207504727472e-09,0.99075,0.00684,0.0021,0.00028,3e-05,0,3.20883432525824e-07,1.16046278244865e-09
1e-09,0.01,8.96697357451024e-08,7.87631268364288e-12,8.49416073160732e-12,9.11000000000001e-08,8.96697357451024e-08,1.01931232362341e-09,0.9915,0.00679,0.00161,1e-04,0,0,9.79587406507552e-08,1.16046278244865e-09
1e-09,0.03,3.15228409185845e-08,2.45037518724664e-13,3.31568813188132e-13,3.255e-08,3.15228409185845e-08,1.01699190448746e-09,0.99357,0.00593,5e-04,0,0,0,3.22214729264162e-08,1.16046278244865e-09
1e-09,0.1,8.54790091709779e-09,1.21861285957184e-14,3.39910142851429e-14,8.475e-09,8.54790091709779e-09,1.01807118563673e-09,0.9973,0.00267,3e-05,0,0,0,8.99131147453914e-09,1.16046278244865e-09
1e-09,0.3,2.33573518223632e-09,5.65430457767812e-16,7.74251492514925e-15,2.75e-09,2.33573518223632e-09,1.0093396739626e-09,0.99897,0.00103,0,0,0,0,2.33274891301422e-09,1.16046278244865e-09
1e-09,0.5,9.43279334760465e-10,5.11082221503305e-17,2.24921249212492e-15,9e-10,9.43279334760465e-10,1.07427727495578e-09,0.99964,0.00036,0,0,0,0,9.99892642126991e-10,1.16046278244865e-09
1e-09,0.7,4.40860559955253e-10,4.56671475078693e-18,9.37368748687487e-16,3.75e-10,4.40860559955253e-10,9.52063195652412e-10,0.99985,0.00015,0,0,0,0,4.28551708568657e-10,1.16046278244865e-09
1e-09,0.9,1.11525266321944e-10,3.98645265309275e-20,4.99964999649997e-16,2e-10,1.11525266321944e-10,9.99128526101055e-10,0.99992,8e-05,0,0,0,0,1.11109785578777e-10,1.16046278244865e-09
3e-09,1e-06,3.19242173128344e-05,7.61128235579557e-06,7.62582787040214e-06,3.19466e-05,3.19242173128344e-05,3.18083266717468e-09,0.97056,0.02089,0.00676,0.00113,4e-04,0.00026,2.7683091107165e-05,2.67025189925051e-09
3e-09,3e-06,3.19124262291843e-05,7.05266208376186e-06,7.08364839379517e-06,3.1998875e-05,3.19124262291843e-05,3.18405164254799e-09,0.96968,0.02133,0.0072,0.00128,0.00027,0.00024,2.71814448249065e-05,2.67025189925051e-09
3e-09,1e-05,1.70360684428089e-05,2.98722695173225e-06,2.99953568229052e-06,1.7061675e-05,1.70360684428089e-05,3.18231238977696e-09,0.97076,0.0206,0.0069,0.00121,0.00032,0.00021,2.55603031537248e-05,2.67025189925051e-09
3e-09,3e-05,1.07194975808524e-05,8.54017366768689e-07,8.54758836869238e-07,1.0716175e-05,1.07194975808524e-05,3.18391985528847e-09,0.97042,0.02071,0.00716,0.00122,3e-04,0.00019,2.18387817474921e-05,2.67025189925051e-09
3e-09,1e-04,1.83280207677808e-05,4.46566300937602e-06,4.45222486670776e-06,1.8316075e-05,1.83280207677808e-05,3.1870843561969e-09,0.96965,0.02172,0.00715,0.00109,0.00025,0.00014,1.44662391062631e-05,2.67025189925051e-09
3e-09,3e-04,1.05154639903411e-05,1.24716987506219e-06,1.24650209183744e-06,1.0508425e-05,1.05154639903411e-05,3.18128459502394e-09,0.97087,0.02079,0.00681,0.0011,0.00029,0.00014,7.36269626235957e-06,2.67025189925051e-09
3e-09,0.001,2.54746124099737e-06,3.00110320056359e-08,2.99684130240677e-08,2.54225e-06,2.54746124099737e-06,3.1846740493876e-09,0.97044,0.02092,0.00724,0.00106,0.00029,5e-05,2.70667639391969e-06,2.67025189925051e-09
3e-09,0.003,9.32453319544865e-07,1.23203551159399e-09,1.22384187808816e-09,9.31825000000001e-07,9.32453319544865e-07,3.17949651476939e-09,0.97156,0.02095,0.0064,0.00089,2e-04,0,9.6265029757747e-07,2.67025189925051e-09
3e-09,0.01,3.19213158822058e-07,5.59195595527114e-11,5.70621542409174e-11,3.17575e-07,3.19213158822058e-07,3.17199684468728e-09,0.97462,0.02015,0.0048,0.00041,2e-05,0,2.93876221952265e-07,2.67025189925051e-09
3e-09,0.03,9.80688008382758e-08,7.5780175757537e-13,1.04484242279923e-12,9.9275e-08,9.80688008382758e-08,3.14717464886557e-09,0.98138,0.01692,0.0017,0,0,0,9.66644187792484e-08,2.67025189925051e-09
3e-09,0.1,2.61436196646796e-08,3.6937191994712e-14,1.01281872193722e-13,2.5625e-08,2.61436196646796e-08,3.12528728424497e-09,0.99184,0.00812,4e-05,0,0,0,2.69739344236173e-08,2.67025189925051e-09
