ne	scale	lower	upper	prob	prob_minor	prob_adj_minor
1.0	1	-inf	0.0	0.9196407664689353	0.9196631981540293	0.9196456447080862
1.0	1	0.0	1e-05	0.04568958788635654	0.04569070233722138	0.04568958788635654
1.0	1	1e-05	0.0001	0.027240087418045584	0.027240751852556505	0.027240087418045584
1.0	1	0.0001	0.001	0.0051123946300343425	0.005112519330494129	0.0051123946300343425
1.0	1	0.001	0.01	0.0014146893537308773	0.0014147238605374975	0.0014146893537308773
1.0	1	0.01	0.1	0.000570753980643147	0.0005707679023547835	0.000570753980643147
1.0	1	0.1	1.0	0.00033172026225413673	0.00030733656280642187	0.0003268420231033406
1.5	1	-inf	0.0	0.9037913674679987	0.9038134125578695	0.9037913674679987
1.5	1	0.0	1e-05	0.05752907430533875	0.0575304775424783	0.05752907430533875
1.5	1	1e-05	0.0001	0.03134268654386513	0.03134345104811525	0.03134268654386513
1.5	1	0.0001	0.001	0.005088003434280362	0.005088127539795206	0.005088003434280362
1.5	1	0.001	0.01	0.0012976116141117703	0.0012976432651826701	0.0012976116141117703
1.5	1	0.01	0.1	0.0006390493287542928	0.0006390649163117661	0.0006390493287542928
1.5	1	0.1	1.0	0.00031220730565095225	0.00028782313024728397	0.00031220730565095225
2.0	1	-inf	0.0	0.8910689197627224	0.8910819604954412	0.8910689197627224
2.0	1	0.0	1e-05	0.06772947236965345	0.06773046358585094	0.06772947236965345
2.0	1	1e-05	0.0001	0.034030596315953794	0.03403109435140422	0.034030596315953794
2.0	1	0.0001	0.001	0.004931899781454886	0.004931971959470996	0.004931899781454886
2.0	1	0.001	0.01	0.0012732204183577896	0.0012732390518515628	0.0012732204183577896
2.0	1	0.01	0.1	0.0006097798938495161	0.0006097888179365722	0.0006097798938495161
2.0	1	0.1	1.0	0.0003561114580081174	0.00034148173804448044	0.0003561114580081174
3.0	1	-inf	0.0	0.875141468935373	0.875167084581386	0.875141468935373
3.0	1	0.0	1e-05	0.0827837183890103	0.08278614149258974	0.0827837183890103
3.0	1	1e-05	0.0001	0.034952583515454265	0.03495360658776697	0.034952583515454265
3.0	1	0.0001	0.001	0.004956290977208866	0.004956436049291171	0.004956290977208866
3.0	1	0.001	0.01	0.001322002809865751	0.0013220415052735308	0.001322002809865751
3.0	1	0.01	0.1	0.0005463627848891664	0.0005463787770872157	0.0005463627848891664
3.0	1	0.1	1.0	0.0002975725881985638	0.00026831100660532916	0.0002975725881985638
4.0	1	-inf	0.0	0.8612970262254137	0.861364257278901	0.8612970262254137
4.0	1	0.0	1e-05	0.09358901810802372	0.09359632347201624	0.09358901810802372
4.0	1	1e-05	0.0001	0.038211247268186074	0.0382142299586293	0.038211247268186074
4.0	1	0.0001	0.001	0.004629448954105526	0.004629810319256889	0.004629448954105526
4.0	1	0.001	0.01	0.0012780986575085856	0.0012781984232300367	0.0012780986575085856
4.0	1	0.01	0.1	0.0006488058070558851	0.0006488564514870033	0.0006536840462066812
4.0	1	0.1	1.0	0.00034635497970652516	0.00026832409647958784	0.000341476740555729
5.0	1	-inf	0.0	0.8528966984077427	0.8529258238407689	0.8528966984077427
5.0	1	0.0	1e-05	0.10191617233843273	0.10191965265751153	0.10191617233843273
5.0	1	1e-05	0.0001	0.03836735092101155	0.03836866112154548	0.03836735092101155
5.0	1	0.0001	0.001	0.004541640649391196	0.004541795741151791	0.004541640649391196
5.0	1	0.001	0.01	0.0013122463315641587	0.0013122911432543844	0.0013122463315641587
5.0	1	0.01	0.1	0.0006927099594130503	0.0006927336146547308	0.0007024664377146425
5.0	1	0.1	1.0	0.0002731813924445832	0.0002390418811132522	0.00026342491414299096
sample	sample	-inf	0.0	0.8899518029971901	0.8901732693799679	0.8899518029971901
sample	sample	0.0	1e-05	0.07771034967218234	0.07772968805656262	0.07771034967218234
sample	sample	1e-05	0.0001	0.026298587261941928	0.02630513172083673	0.02630834374024352
sample	sample	0.0001	0.001	0.003829417733374961	0.003830370692052835	0.003834295972525757
sample	sample	0.001	0.01	0.0009512566344052451	0.0009514933566245895	0.0009707695910084296
sample	sample	0.01	0.1	0.0005414845457383702	0.0005416192953093817	0.000570753980643147
sample	sample	0.1	1.0	0.000717101155167031	0.0004684274986459518	0.0006536840462066812
