ne	scale	lower	upper	prob	prob_minor	prob_adj_minor
1.0	1	-inf	0.0	0.19718249733191034	0.1973004143351416	0.19718249733191034
1.0	1	0.0	1e-05	0.2903948772678762	0.2905685361582162	0.2903948772678762
1.0	1	1e-05	0.0001	0.3872785485592316	0.38751014480372475	0.3872785485592316
1.0	1	0.0001	0.001	0.08875133404482391	0.08880440818418692	0.08875133404482391
1.0	1	0.001	0.01	0.020213447171824973	0.02022553500491222	0.020213447171824973
1.0	1	0.01	0.1	0.010757737459978656	0.010764170688992354	0.010757737459978656
1.0	1	0.1	1.0	0.005421558164354323	0.004826790824825937	0.005421558164354323
1.5	1	-inf	0.0	0.1384845250800427	0.1385821389666147	0.1384845250800427
1.5	1	0.0	1e-05	0.29293489861259336	0.2931413802678514	0.29293489861259336
1.5	1	1e-05	0.0001	0.44202774813233725	0.4423393211867484	0.44202774813233725
1.5	1	0.0001	0.001	0.08945570971184631	0.08951876455133818	0.08945570971184631
1.5	1	0.001	0.01	0.020661686232657416	0.020676250080099108	0.020683030949839913
1.5	1	0.01	0.1	0.01056563500533618	0.010573082427323409	0.010586979722518677
1.5	1	0.1	1.0	0.005869797225186766	0.005169062520024777	0.0058271077908217716
2.0	1	-inf	0.0	0.10409818569903949	0.10413819610522719	0.10409818569903949
2.0	1	0.0	1e-05	0.291931696905016	0.2920439016057397	0.291931696905016
2.0	1	1e-05	0.0001	0.4780362860192102	0.47822002049880424	0.4780362860192102
2.0	1	0.0001	0.001	0.0903735325506937	0.09040826785104203	0.0903735325506937
2.0	1	0.001	0.01	0.01982924226254002	0.019836863682951827	0.01982924226254002
2.0	1	0.01	0.1	0.009797225186766276	0.009800990775538093	0.009818569903948773
2.0	1	0.1	1.0	0.005933831376734258	0.0055517594806969595	0.005912486659551761
3.0	1	-inf	0.0	0.07097118463180363	0.07101059285836324	0.07097118463180363
3.0	1	0.0	1e-05	0.2746211312700107	0.27477362036562447	0.2746211312700107
3.0	1	1e-05	0.0001	0.5308644610458911	0.531159234580557	0.5308644610458911
3.0	1	0.0001	0.001	0.08766275346851654	0.08771143003587904	0.08766275346851654
3.0	1	0.001	0.01	0.020213447171824973	0.020224671108833078	0.020213447171824973
3.0	1	0.01	0.1	0.01016008537886873	0.010165726977618316	0.01016008537886873
3.0	1	0.1	1.0	0.005506937033084311	0.004954724073124893	0.005506937033084311
4.0	1	-inf	0.0	0.051077908217716114	0.051110636480136695	0.051077908217716114
4.0	1	0.0	1e-05	0.2565635005336179	0.2567278940623665	0.2565635005336179
4.0	1	1e-05	0.0001	0.5696691568836713	0.570034173430158	0.5696691568836713
4.0	1	0.0001	0.001	0.08712913553895411	0.08718496369073046	0.08712913553895411
4.0	1	0.001	0.01	0.020106723585912485	0.020119607005553184	0.020106723585912485
4.0	1	0.01	0.1	0.00966915688367129	0.009675352413498504	0.00969050160085379
4.0	1	0.1	1.0	0.005784418356456777	0.0051473729175566	0.00576307363927428
5.0	1	-inf	0.0	0.04072572038420491	0.04075616789490548	0.04072572038420491
5.0	1	0.0	1e-05	0.24221985058697973	0.24240093986969988	0.24221985058697973
5.0	1	1e-05	0.0001	0.5941515474919957	0.5945957492256755	0.5941515474919957
5.0	1	0.0001	0.001	0.08548559231590182	0.0855495033643063	0.08548559231590182
5.0	1	0.001	0.01	0.021387406616862326	0.021403396347324577	0.021387406616862326
5.0	1	0.01	0.1	0.010138740661686232	0.01014632062373171	0.01016008537886873
5.0	1	0.1	1.0	0.005891141942369263	0.00514792267435651	0.005869797225186766
sample	sample	-inf	0.0	0.14994663820704376	0.1500908022647153	0.14994663820704376
sample	sample	0.0	1e-05	0.332017075773746	0.33233628885802796	0.332017075773746
sample	sample	1e-05	0.0001	0.4246744930629669	0.4250827903001816	0.4246744930629669
sample	sample	0.0001	0.001	0.06341515474919958	0.06347612434568957	0.06341515474919958
sample	sample	0.001	0.01	0.015090715048025614	0.015105223800875974	0.015090715048025614
sample	sample	0.01	0.1	0.008110992529348986	0.00811879072748638	0.008132337246531483
sample	sample	0.1	1.0	0.006744930629669157	0.005789979703023181	0.00672358591248666
