AN,AC,AF,AC_sim,AF_sim
471986,16,3.3899310572771224e-05,6,1.271224146478921e-05
471240,31,6.578388931330108e-05,13,2.7586792292674647e-05
471094,6,1.2736311649055178e-05,0,0.0
365118,0,0.0,2,5.477681187999496e-06
471208,0,0.0,108,0.00022919814604166312
471832,8,1.6955187439597144e-05,13,2.755217958934536e-05
471988,70,0.00014830885530988077,6,1.271218759798978e-05
471950,2,4.237737048416145e-06,7,1.483207966945651e-05
469230,10,2.1311510346738275e-05,77,0.0001640986296698847
466808,0,0.0,4,8.568833439015613e-06
469426,40,8.52104485051957e-05,2,4.2605224252597855e-06
470373,5,1.0629861833055894e-05,3,6.377917099833536e-06
467332,5,1.069903195158902e-05,24,5.13553533676273e-05
431284,13,3.014255108003079e-05,1,2.318657775386984e-06
471368,5,1.0607423499261723e-05,7,1.4850392898966413e-05
471686,3,6.360163328994288e-06,4,8.480217771992385e-06
470548,11,2.3376998733391705e-05,5,1.0625908515178047e-05
471934,5,1.0594701801523095e-05,2,4.237880720609238e-06
471926,3,6.356928840538559e-06,11,2.3308739081974716e-05
471928,4,8.475869200386499e-06,6,1.271380380057975e-05
471868,499,0.0010574991311129384,71,0.00015046580823450625
471718,10,2.119910624568068e-05,15,3.179865936852102e-05
469656,33,7.026419336706015e-05,4,8.516871923280018e-06
471944,12,2.542674554608174e-05,18,3.814011831912261e-05
471934,8,1.695152288243695e-05,22,4.6616687926701615e-05
462786,0,0.0,160,0.000345732152658032
471950,3,6.356605572624219e-06,0,0.0
471112,4,8.490550017830155e-06,2,4.2452750089150774e-06
471952,30,6.356578635115435e-05,130,0.0002754517408550022
471776,30,6.35895001017432e-05,0,0.0
471848,5,1.0596632813957038e-05,0,0.0
459850,5,1.0873110796999021e-05,23,5.00163096661955e-05
471518,2,4.241619620035714e-06,2,4.241619620035714e-06
469120,4,8.526603001364257e-06,0,0.0
471744,0,0.0,13,2.755731922398589e-05
440856,7,1.587820059157639e-05,3,6.804943110675595e-06
469184,23,4.9021279498022095e-05,9,1.9182239803573866e-05
471358,0,0.0,34,7.213201006453694e-05
466532,1,2.143475688698739e-06,13,2.7865183953083606e-05
468432,1,2.1347815691498446e-06,19,4.0560849813847044e-05
471994,32,6.779747200176274e-05,1,2.1186710000550855e-06
472004,2,4.237252226676045e-06,3,6.355878340014068e-06
471980,6,1.2712403067926606e-05,6,1.2712403067926606e-05
472006,2,4.237234272445689e-06,2,4.237234272445689e-06
465672,14,3.0064079437887612e-05,11,2.362177670119741e-05
469558,2,4.259324726657836e-06,4,8.518649453315671e-06
471830,0,0.0,0,0.0
446174,9,2.0171502597641278e-05,686,0.0015375167535535464
462300,3,6.489292667099286e-06,10,2.163097555699762e-05
471366,6,1.2728962207711206e-05,8,1.6971949610281607e-05
471766,1,2.11969493350517e-06,23,4.875298347061891e-05
471946,59,0.00012501430248375872,1,2.1188864827755718e-06
471702,8,1.6959860250751535e-05,22,4.663961568956672e-05
471462,0,0.0,11,2.3331678905192783e-05
471818,0,0.0,3,6.358383953134471e-06
471108,10,2.1226555269704612e-05,4,8.490622107881845e-06
471974,31,6.568158415505939e-05,51,0.00010805679973896868
365888,0,0.0,22,6.012768934755991e-05
368194,3,8.147878564017883e-06,8,2.172767617071435e-05
471938,22,4.661629281812441e-05,0,0.0
471962,1,2.1188146503320182e-06,14,2.9663405104648256e-05
469232,41,8.737681999522625e-05,22,4.688512292426774e-05
471692,0,0.0,58,0.00012296159358225284
471674,11,2.3321192179344208e-05,4,8.48043351976153e-06
471976,3,6.356255402817092e-06,1,2.118751800939031e-06
467192,0,0.0,1,2.1404476104042875e-06
471928,80,0.00016951738400773,41,8.687765930396162e-05
461022,0,0.0,3699,0.008023478272186576
471992,7,1.4830759843387177e-05,5,1.0593399888133698e-05
461028,0,0.0,2,4.338131306558387e-06
471688,8,1.6960363630196233e-05,76,0.0001611234544868642
471942,8,1.6951235533179926e-05,9,1.9070139974827416e-05
470544,3,6.375599306334795e-06,0,0.0
471220,10,2.122151012266033e-05,3,6.366453036798098e-06
471936,17,3.602183346894494e-05,13,2.754610794684025e-05
471224,9,1.9099196984873435e-05,1,2.1221329983192705e-06
470104,83,0.00017655667682044823,0,0.0
470562,9,1.912606627819501e-05,83,0.00017638483345446508
471086,25,5.3068866406558464e-05,67,0.00014222456196957668
472012,4,8.47436082133505e-06,1,2.1185902053337626e-06
471920,70,0.0001483302254619427,4,8.476012883539584e-06
471928,21,4.449831330202912e-05,5,1.0594836500483124e-05
471892,21,4.4501708017936305e-05,1,2.1191289532350623e-06
471358,6,1.2729178246682989e-05,38,8.061812889565892e-05
471968,13,2.7544240287477116e-05,4,8.475150857685267e-06
429510,3,6.984703499336453e-06,1,2.328234499778818e-06
471460,14,2.9694990030967632e-05,11,2.3331777881474567e-05
471988,5,1.0593489664991483e-05,2,4.237395865996593e-06
471934,0,0.0,16,3.39030457648739e-05
443748,1,2.253531283521278e-06,11,2.4788844118734056e-05
471732,30,6.359543130421511e-05,13,2.7558020231826545e-05
471912,5,1.0595195714455238e-05,4,8.47615657156419e-06
471236,888,0.0018844061149827262,3,6.366236874941643e-06
471544,4,8.482771491101573e-06,28,5.937940043771101e-05
471334,1,2.1216377346000924e-06,5,1.0608188673000462e-05
471288,7,1.485291371730237e-05,4,8.487379267029927e-06
471758,10,2.1197308789676063e-05,5,1.0598654394838032e-05
471510,15,3.1812686899535535e-05,19,4.029607007274501e-05
471524,11,2.332861105691333e-05,9,1.9087045410201812e-05
471444,5,1.0605713509982098e-05,14,2.9695997827949874e-05
471930,14,2.9665416481257815e-05,1,2.118958320089844e-06
471904,7,1.4833525462805995e-05,54,0.00011443005357021767
471448,1,2.121124705163666e-06,1,2.121124705163666e-06
471924,24,5.0855646248124696e-05,0,0.0
471898,21,4.450114219598303e-05,5,1.0595510046662626e-05
455362,0,0.0,9,1.976449506107229e-05
418722,9,2.1493974522475533e-05,2,4.776438782772341e-06
471956,9,1.9069574282348353e-05,3,6.356524760782785e-06
434126,4,9.213914854212832e-06,2,4.606957427106416e-06
471962,7,1.4831702552324128e-05,2,4.2376293006640364e-06
471344,11,2.333751994297159e-05,4,8.486370888353305e-06
470413,16,3.401266546630301e-05,5,1.0628957958219693e-05
471710,22,4.663882470161752e-05,8,1.695957261877001e-05
470977,14,2.9725443068345163e-05,15,3.184868900179839e-05
471932,2,4.2378986803183505e-06,6,1.2713696040955053e-05
471682,39,8.268282444528304e-05,134,0.00028408970450430587
