UniprotID	GeneID	TranscriptID	ProteinID	Symbol	Strand	Chrom	UniprotEntryName	Length	logit_s_mean	logit_s_sd	s_mean	s_lower	s_upper	s_median
Q99972	ENSG00000034971	ENST00000037502	ENSP00000037502	MYOC	-	1	MYOC_HUMAN	504	-5.864333629608154	2.040424346923828	0.01721498928964138	5.203764885663986e-05	0.1341010183095932	0.0028308776672929525
Q13395	ENSG00000059588	ENST00000040877	ENSP00000040877	TARBP1	-	1	TARB1_HUMAN	1621	-5.451335430145264	0.8155432343482971	0.005935990251600742	0.0008668560185469687	0.0207772646099329	0.0042722406797111034
Q15836	ENSG00000049245	ENST00000054666	ENSP00000054666	VAMP3	+	1	VAMP3_HUMAN	100	-6.17662239074707	1.54537832736969	0.006831297185271978	0.00010047428804682568	0.041180577129125595	0.0020731259137392044
Q9BRV8	ENSG00000052723	ENST00000060969	ENSP00000060969	SIKE1	-	1	SIKE1_HUMAN	207	-3.2246956825256348	2.9759957790374756	0.17277859151363373	0.00011649579391814768	0.9313842058181763	0.03824688494205475
Q9Y548	ENSG00000058799	ENST00000072644	ENSP00000072644	YIPF1	-	1	YIPF1_HUMAN	306	-5.668522834777832	2.0628740787506104	0.019223496317863464	6.056811980670318e-05	0.16446653008460999	0.003441080218181014
P29322	ENSG00000070886	ENST00000166244	ENSP00000166244	EPHA8	+	1	EPHA8_HUMAN	1005	-3.9144248962402344	0.6212575435638428	0.023574357852339745	0.005869686137884855	0.06316348910331726	0.019561724737286568
Q9Y547	ENSG00000081870	ENST00000194214	ENSP00000194214	HSPB11	-	1	IFT25_HUMAN	144	-5.375434398651123	2.357318639755249	0.034975647926330566	4.5593802497023717e-05	0.3196949064731598	0.004607579670846462
Q02809	ENSG00000083444	ENST00000196061	ENSP00000196061	PLOD1	+	1	PLOD1_HUMAN	727	-5.2580647468566895	1.639622688293457	0.017070716246962547	0.0002092720242217183	0.11461306363344193	0.005178412888199091
Q9UIF3	ENSG00000092850	ENST00000207457	ENSP00000207457	TEKT2	+	1	TEKT2_HUMAN	430	-5.839809417724609	1.6573197841644287	0.010423163883388042	0.00011299018660793081	0.06968607008457184	0.0029009568970650434
Q9Y2M5	ENSG00000076321	ENST00000209884	ENSP00000209884	KLHL20	+	1	KLH20_HUMAN	609	-4.300323963165283	1.7863879203796387	0.04712360352277756	0.0004089210706297308	0.3102250099182129	0.013382638804614544
