AN,AC,AF,AC_sim,AF_sim
471986,16,3.3899310572771224e-05,6,1.271224146478921e-05
471240,31,6.578388931330108e-05,0,0.0
471094,6,1.2736311649055178e-05,15,3.184077912263795e-05
365118,0,0.0,2,5.477681187999496e-06
471208,0,0.0,0,0.0
471832,8,1.6955187439597144e-05,22,4.662676545889215e-05
471988,70,0.00014830885530988077,56,0.00011864708424790461
471950,2,4.237737048416145e-06,0,0.0
469230,10,2.1311510346738275e-05,50,0.00010655755173369137
466808,0,0.0,2,4.284416719507807e-06
469426,40,8.52104485051957e-05,45,9.586175456834517e-05
470373,5,1.0629861833055894e-05,2,4.2519447332223574e-06
467332,5,1.069903195158902e-05,90,0.00019258257512860236
431284,13,3.014255108003079e-05,5,1.159328887693492e-05
471368,5,1.0607423499261723e-05,6,1.2728908199114067e-05
471686,3,6.360163328994288e-06,2,4.240108885996192e-06
470548,11,2.3376998733391705e-05,6,1.2751090218213658e-05
471934,5,1.0594701801523095e-05,4,8.475761441218476e-06
471926,3,6.356928840538559e-06,0,0.0
471928,4,8.475869200386499e-06,6,1.271380380057975e-05
471868,499,0.0010574991311129384,8,1.695389388557817e-05
471718,10,2.119910624568068e-05,24,5.087785498963364e-05
469656,33,7.026419336706015e-05,0,0.0
471944,12,2.542674554608174e-05,32,6.78046547895513e-05
471934,8,1.695152288243695e-05,10,2.118940360304619e-05
462786,0,0.0,11,2.37690854952397e-05
471950,3,6.356605572624219e-06,1,2.1188685242080727e-06
471112,4,8.490550017830155e-06,0,0.0
471952,30,6.356578635115435e-05,15,3.1782893175577175e-05
471776,30,6.35895001017432e-05,0,0.0
471848,5,1.0596632813957038e-05,0,0.0
459850,5,1.0873110796999021e-05,2,4.349244318799608e-06
471518,2,4.241619620035714e-06,0,0.0
469120,4,8.526603001364257e-06,0,0.0
471744,0,0.0,3,6.359381359381359e-06
440856,7,1.587820059157639e-05,62,0.00014063549095396228
469184,23,4.9021279498022095e-05,15,3.197039967262311e-05
471358,0,0.0,38,8.061812889565892e-05
466532,1,2.143475688698739e-06,0,0.0
468432,1,2.1347815691498446e-06,6,1.2808689414899067e-05
471994,32,6.779747200176274e-05,5,1.0593355000275427e-05
472004,2,4.237252226676045e-06,15,3.177939170007034e-05
471980,6,1.2712403067926606e-05,2188,0.0046357896521039025
472006,2,4.237234272445689e-06,0,0.0
465672,14,3.0064079437887612e-05,9,1.9326908210070606e-05
469558,2,4.259324726657836e-06,5,1.064831181664459e-05
471830,0,0.0,0,0.0
446174,9,2.0171502597641278e-05,16,3.586044906247338e-05
462300,3,6.489292667099286e-06,10,2.163097555699762e-05
471366,6,1.2728962207711206e-05,8,1.6971949610281607e-05
471766,1,2.11969493350517e-06,1,2.11969493350517e-06
471946,59,0.00012501430248375872,0,0.0
471702,8,1.6959860250751535e-05,4,8.479930125375767e-06
471462,0,0.0,0,0.0
471818,0,0.0,5,1.0597306588557453e-05
471108,10,2.1226555269704612e-05,3,6.367966580911383e-06
