GeneID	TranscriptID	ProteinID	Symbol	Strand	Chrom
ENSG00000186827	ENST00000379236	ENSP00000368538	TNFRSF4	-	1
ENSG00000186891	ENST00000379268	ENSP00000368570	TNFRSF18	-	1
ENSG00000160072	ENST00000673477	ENSP00000500094	ATAD3B	+	1
ENSG00000142611	ENST00000270722	ENSP00000270722	PRDM16	+	1
ENSG00000067606	ENST00000378567	ENSP00000367830	PRKCZ	+	1
ENSG00000131584	ENST00000354700	ENSP00000346733	ACAP3	-	1
ENSG00000169972	ENST00000379031	ENSP00000368318	PUSL1	+	1
ENSG00000157911	ENST00000447513	ENSP00000407922	PEX10	-	1
ENSG00000224051	ENST00000343938	ENSP00000343890	CPTP	+	1
ENSG00000157933	ENST00000378536	ENSP00000367797	SKI	+	1
ENSG00000162591	ENST00000356575	ENSP00000348982	MEGF6	-	1
ENSG00000169962	ENST00000339381	ENSP00000344411	TAS1R3	+	1
ENSG00000116285	ENST00000377482	ENSP00000366702	ERRFI1	-	1
ENSG00000142655	ENST00000356607	ENSP00000349016	PEX14	+	1
ENSG00000149527	ENST00000378486	ENSP00000367747	PLCH2	+	1
ENSG00000007923	ENST00000377577	ENSP00000366800	DNAJC11	-	1
ENSG00000171621	ENST00000328089	ENSP00000330221	SPSB1	+	1
ENSG00000162441	ENST00000377223	ENSP00000366430	LZIC	-	1
ENSG00000187017	ENST00000645284	ENSP00000496593	ESPN	+	1
ENSG00000173673	ENST00000377898	ENSP00000367130	HES3	+	1
ENSG00000142583	ENST00000377424	ENSP00000366641	SLC2A5	-	1
ENSG00000107404	ENST00000378888	ENSP00000368166	DVL1	-	1
ENSG00000177000	ENST00000376590	ENSP00000365775	MTHFR	-	1
ENSG00000074800	ENST00000234590	ENSP00000234590	ENO1	-	1
ENSG00000116786	ENST00000375799	ENSP00000364956	PLEKHM2	+	1
ENSG00000176022	ENST00000379198	ENSP00000368496	B3GALT6	+	1
ENSG00000162496	ENST00000616661	ENSP00000480439	DHRS3	-	1
ENSG00000131686	ENST00000377443	ENSP00000366662	CA6	+	1
ENSG00000162494	ENST00000376085	ENSP00000365253	LRRC38	-	1
ENSG00000173614	ENST00000377205	ENSP00000366410	NMNAT1	+	1
ENSG00000116273	ENST00000377648	ENSP00000366876	PHF13	+	1
ENSG00000162592	ENST00000294600	ENSP00000294600	CCDC27	+	1
ENSG00000116254	ENST00000262450	ENSP00000262450	CHD5	-	1
ENSG00000049245	ENST00000054666	ENSP00000054666	VAMP3	+	1
ENSG00000204624	ENST00000294484	ENSP00000294484	DISP3	+	1
ENSG00000171603	ENST00000377298	ENSP00000366513	CLSTN1	-	1
ENSG00000142606	ENST00000378412	ENSP00000367668	MMEL1	-	1
ENSG00000177674	ENST00000314340	ENSP00000319713	AGTRAP	+	1
ENSG00000162572	ENST00000379116	ENSP00000368411	SCNN1D	+	1
ENSG00000171608	ENST00000377346	ENSP00000366563	PIK3CD	+	1
ENSG00000171729	ENST00000376008	ENSP00000365176	TMEM51	+	1
ENSG00000162571	ENST00000379289	ENSP00000368591	TTLL10	+	1
ENSG00000158109	ENST00000378344	ENSP00000367595	TPRG1L	+	1
ENSG00000037637	ENST00000375592	ENSP00000364742	FBXO42	-	1
ENSG00000184163	ENST00000330388	ENSP00000329137	C1QTNF12	-	1
ENSG00000159423	ENST00000375341	ENSP00000364490	ALDH4A1	-	1
ENSG00000142599	ENST00000400908	ENSP00000383700	RERE	-	1
ENSG00000011021	ENST00000346436	ENSP00000234488	CLCN6	+	1
ENSG00000120952	ENST00000240189	ENSP00000240189	PRAMEF2	+	1
ENSG00000243073	ENST00000235349	ENSP00000235349	PRAMEF4	-	1
ENSG00000142615	ENST00000359621	ENSP00000352639	CELA2A	+	1
ENSG00000215704	ENST00000375910	ENSP00000365075	CELA2B	+	1
ENSG00000065526	ENST00000375759	ENSP00000364912	SPEN	+	1
ENSG00000157916	ENST00000605895	ENSP00000475168	RER1	+	1
ENSG00000157881	ENST00000378466	ENSP00000367727	PANK4	-	1
ENSG00000116213	ENST00000270708	ENSP00000270708	WRAP73	-	1
ENSG00000127463	ENST00000477853	ENSP00000420608	EMC1	-	1
ENSG00000048707	ENST00000620676	ENSP00000478104	VPS13D	+	1
ENSG00000158748	ENST00000289753	ENSP00000289753	HTR6	+	1
ENSG00000130762	ENST00000378378	ENSP00000367629	ARHGEF16	+	1
ENSG00000162444	ENST00000294435	ENSP00000294435	RBP7	+	1
ENSG00000279169	ENST00000625019	ENSP00000491259	PRAMEF13	-	1
ENSG00000180758	ENST00000377411	ENSP00000366628	GPR157	-	1
ENSG00000184677	ENST00000375647	ENSP00000364798	ZBTB40	+	1
ENSG00000132879	ENST00000251547	ENSP00000251547	FBXO44	+	1
ENSG00000187545	ENST00000235347	ENSP00000235347	PRAMEF10	-	1
ENSG00000239810	ENST00000619922	ENSP00000480027	PRAMEF11	-	1
ENSG00000116721	ENST00000332296	ENSP00000332134	PRAMEF1	+	1
ENSG00000131697	ENST00000378156	ENSP00000367398	NPHP4	-	1
ENSG00000088280	ENST00000336689	ENSP00000338769	ASAP3	-	1
ENSG00000188807	ENST00000340381	ENSP00000344503	TMEM201	+	1
ENSG00000198793	ENST00000361445	ENSP00000354558	MTOR	-	1
ENSG00000078900	ENST00000378295	ENSP00000367545	TP73	+	1
ENSG00000142661	ENST00000374434	ENSP00000363557	MYOM3	-	1
ENSG00000171819	ENST00000376819	ENSP00000366015	ANGPTL7	+	1
ENSG00000197921	ENST00000378453	ENSP00000367714	HES5	-	1
ENSG00000116288	ENST00000338639	ENSP00000340278	PARK7	+	1
ENSG00000142677	ENST00000270800	ENSP00000270800	IL22RA1	-	1
ENSG00000131910	ENST00000254227	ENSP00000254227	NR0B2	-	1
ENSG00000185436	ENST00000327535	ENSP00000327824	IFNLR1	-	1
ENSG00000131914	ENST00000326279	ENSP00000363314	LIN28A	+	1
ENSG00000232423	ENST00000376189	ENSP00000365360	PRAMEF6	-	1
ENSG00000169504	ENST00000374379	ENSP00000363500	CLIC4	+	1
ENSG00000181773	ENST00000374024	ENSP00000363136	GPR3	+	1
ENSG00000175707	ENST00000320567	ENSP00000319179	KDF1	-	1
ENSG00000174950	ENST00000374030	ENSP00000363142	CD164L2	-	1
ENSG00000055070	ENST00000401088	ENSP00000383866	SZRD1	+	1
ENSG00000175087	ENST00000374269	ENSP00000363387	PDIK1L	+	1
ENSG00000171735	ENST00000303635	ENSP00000306522	CAMTA1	+	1
ENSG00000157191	ENST00000337132	ENSP00000338746	NECAP2	+	1
ENSG00000133226	ENST00000323848	ENSP00000326261	SRRM1	+	1
ENSG00000162482	ENST00000361640	ENSP00000355377	AKR7A3	-	1
ENSG00000116663	ENST00000376753	ENSP00000365944	FBXO6	+	1
ENSG00000188822	ENST00000374472	ENSP00000363596	CNR2	-	1
ENSG00000090273	ENST00000321265	ENSP00000319664	NUDC	+	1
ENSG00000227868	ENST00000566855	ENSP00000457161	TEX46	-	1
ENSG00000142751	ENST00000374135	ENSP00000363250	GPN2	-	1
ENSG00000189266	ENST00000334351	ENSP00000334840	PNRC2	+	1
ENSG00000162511	ENST00000294507	ENSP00000294507	LAPTM5	-	1
ENSG00000158014	ENST00000374276	ENSP00000363394	SLC30A2	-	1
ENSG00000204138	ENST00000373839	ENSP00000362945	PHACTR4	+	1
ENSG00000142675	ENST00000361530	ENSP00000354609	CNKSR1	+	1
ENSG00000197245	ENST00000374268	ENSP00000363386	FAM110D	+	1
ENSG00000116237	ENST00000343813	ENSP00000343552	ICMT	-	1
ENSG00000158195	ENST00000618852	ENSP00000483313	WASF2	-	1
ENSG00000130772	ENST00000373842	ENSP00000362948	MED18	+	1
ENSG00000204160	ENST00000374142	ENSP00000363257	ZDHHC18	+	1
ENSG00000090020	ENST00000263980	ENSP00000263980	SLC9A1	-	1
ENSG00000157978	ENST00000374338	ENSP00000363458	LDLRAP1	+	1
ENSG00000158246	ENST00000289166	ENSP00000289166	TENT5B	-	1
ENSG00000130770	ENST00000335514	ENSP00000335203	ATP5IF1	+	1
ENSG00000117305	ENST00000374490	ENSP00000363614	HMGCL	-	1
ENSG00000162512	ENST00000339394	ENSP00000344468	SDC3	-	1
ENSG00000198746	ENST00000361720	ENSP00000354645	GPATCH3	-	1
ENSG00000158006	ENST00000374282	ENSP00000363400	PAFAH2	-	1
ENSG00000188529	ENST00000492112	ENSP00000420195	SRSF10	-	1
ENSG00000142784	ENST00000319394	ENSP00000317971	WDTC1	+	1
ENSG00000117682	ENST00000236342	ENSP00000236342	DHDDS	+	1
ENSG00000175793	ENST00000339276	ENSP00000340989	SFN	+	1
ENSG00000126698	ENST00000263697	ENSP00000263697	DNAJC8	-	1
ENSG00000130766	ENST00000253063	ENSP00000253063	SESN2	+	1
ENSG00000168528	ENST00000373709	ENSP00000362813	SERINC2	+	1
ENSG00000196581	ENST00000378191	ENSP00000367433	AJAP1	+	1
ENSG00000169403	ENST00000373857	ENSP00000362965	PTAFR	-	1
ENSG00000117676	ENST00000374168	ENSP00000363283	RPS6KA1	+	1
ENSG00000198830	ENST00000361427	ENSP00000355228	HMGN2	+	1
ENSG00000084628	ENST00000373736	ENSP00000362841	NKAIN1	-	1
ENSG00000060688	ENST00000263694	ENSP00000263694	SNRNP40	-	1
ENSG00000171612	ENST00000302692	ENSP00000306328	SLC25A33	+	1
ENSG00000162458	ENST00000375766	ENSP00000364921	FBLIM1	+	1
ENSG00000188910	ENST00000373366	ENSP00000362464	GJB3	+	1
ENSG00000116138	ENST00000375847	ENSP00000365007	DNAJC16	+	1
ENSG00000142765	ENST00000616558	ENSP00000481032	SYTL1	+	1
ENSG00000158161	ENST00000373871	ENSP00000362978	EYA3	-	1
ENSG00000142684	ENST00000374266	ENSP00000363384	ZNF593	+	1
ENSG00000060642	ENST00000674202	ENSP00000501479	PIGV	+	1
ENSG00000121769	ENST00000373713	ENSP00000362817	FABP3	-	1
ENSG00000157330	ENST00000614859	ENSP00000477802	C1orf158	+	1
ENSG00000162413	ENST00000377658	ENSP00000366886	KLHL21	-	1
ENSG00000142627	ENST00000358432	ENSP00000351209	EPHA2	-	1
ENSG00000142632	ENST00000270747	ENSP00000270747	ARHGEF19	-	1
ENSG00000162490	ENST00000294485	ENSP00000294485	DRAXIN	+	1
ENSG00000158292	ENST00000377893	ENSP00000367125	GPR153	-	1
ENSG00000142733	ENST00000357582	ENSP00000350195	MAP3K6	-	1
ENSG00000189337	ENST00000376030	ENSP00000365198	KAZN	+	1
ENSG00000028137	ENST00000376259	ENSP00000365435	TNFRSF1B	+	1
ENSG00000162460	ENST00000375782	ENSP00000364938	TMEM82	+	1
ENSG00000142687	ENST00000325722	ENSP00000318406	KIAA0319L	-	1
ENSG00000130939	ENST00000343090	ENSP00000343001	UBE4B	+	1
ENSG00000127472	ENST00000375108	ENSP00000364249	PLA2G5	+	1
ENSG00000060656	ENST00000373779	ENSP00000362884	PTPRU	+	1
ENSG00000163867	ENST00000357182	ENSP00000349708	ZMYM6	-	1
